doi,title,year,cited_by_count,in_refs_bib
10.3390/s25185690,"Transparent EEG Analysis: Leveraging Autoencoders, Bi-LSTMs, and SHAP for Improved Neurodegenerative",2025,7,
10.1109/jbhi.2024.3513038,AdaptEEG: A Deep Subdomain Adaptation Network With Class Confusion Loss for Cross-Subject Mental Wor,2024,6,
10.1145/3580305.3599483,R-Mixup: Riemannian Mixup for Biological Networks,2023,5,
10.2307/j.ctt7rxv2,Positive Definite Matrices,2009,5,
10.1109/iscslp.2010.5684490,Factor analysis based spatial correlation modeling for speaker verification,2010,4,
10.48550/arxiv.1601.03805,Matrix Neural Networks,2016,4,
10.48550/arxiv.1412.4172,Kernel Methods on the Riemannian Manifold of Symmetric Positive Definite\n Matrices,2014,4,
10.23919/eusipco55093.2022.9909703,Riemannian Classification of EEG Signals with Missing Values,2022,4,
10.23919/eusipco58844.2023.10289919,Multichannel Active Noise Control with Exterior Radiation Suppression Based on Riemannian Optimizati,2023,4,
10.1016/j.bspc.2025.108597,EGDN-KL: Dynamic graph–deviation network for EEG anomaly detection,2025,4,
10.1109/ictis62692.2024.10894543,Enhancing EEG Signal Reconstruction in Cross-Domain Adaptation Using CycleGAN,2024,3,
10.1007/978-981-10-0207-6_50,Sparse Support Vector Machine for Simultaneous Feature Selection and Classification in Motor-Imagery,2016,2,
10.1109/smc52423.2021.9658876,Distance Covariance: A Nonlinear Extension of Riemannian Geometry for EEG-based Brain-Computer Inter,2021,2,
10.48550/arxiv.2102.06015,RIGOLETTO -- RIemannian GeOmetry LEarning: applicaTion To cOnnectivity. A contribution to the Clinic,2021,1,
10.3390/brainsci15080856,Editorial: The Application of EEG in Neurorehabilitation,2025,1,
